territory,price_point_id
JAM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJKQU0iLCJwIjoiMTAwMTAifQ
JOR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJKT1IiLCJwIjoiMTAwMTAifQ
JPN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJKUE4iLCJwIjoiMTAwMTAifQ
KEN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJLRU4iLCJwIjoiMTAwMTAifQ
KGZ,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJLR1oiLCJwIjoiMTAwMTAifQ
KHM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJLSE0iLCJwIjoiMTAwMTAifQ
KNA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJLTkEiLCJwIjoiMTAwMTAifQ
KOR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJLT1IiLCJwIjoiMTAwMTAifQ
KWT,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJLV1QiLCJwIjoiMTAwMTAifQ
CYM,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJDWU0iLCJwIjoiMTAwMTAifQ
KAZ,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJLQVoiLCJwIjoiMTAwMTAifQ
LAO,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMQU8iLCJwIjoiMTAwMTAifQ
LBN,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMQk4iLCJwIjoiMTAwMTAifQ
LCA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMQ0EiLCJwIjoiMTAwMTAifQ
LKA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMS0EiLCJwIjoiMTAwMTAifQ
LBR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMQlIiLCJwIjoiMTAwMTAifQ
LTU,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMVFUiLCJwIjoiMTAwMTAifQ
LUX,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMVVgiLCJwIjoiMTAwMTAifQ
LVA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMVkEiLCJwIjoiMTAwMTAifQ
LBY,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJMQlkiLCJwIjoiMTAwMTAifQ
MAR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNQVIiLCJwIjoiMTAwMTAifQ
MDA,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNREEiLCJwIjoiMTAwMTAifQ
MNE,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNTkUiLCJwIjoiMTAwMTAifQ
MDG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNREciLCJwIjoiMTAwMTAifQ
MKD,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNS0QiLCJwIjoiMTAwMTAifQ
MLI,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNTEkiLCJwIjoiMTAwMTAifQ
MMR,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNTVIiLCJwIjoiMTAwMTAifQ
MNG,eyJzIjoiNjc1MzAxOTkwNyIsInQiOiJNTkciLCJwIjoiMTAwMTAifQ
